"","x"
"1","collaborative virtual"
"2","collaborative virtual environment"
"3","collaborative virtual environments"
"4","experimental study"
"5","force feedback"
"6","haptic collaboration"
"7","haptic communication"
"8","haptic device"
"9","haptic feedback"
"10","haptic interaction"
"11","haptic interactions"
"12","interpersonal communication"
"13","passive haptic"
"14","passive haptic feedback"
"15","remote collaboration"
"16","remote collaborative"
"17","results showed"
"18","shared experience"
"19","shared virtual"
"20","shared virtual environment"
"21","support haptic"
"22","verbal communication"
"23","virtual environment"
"24","virtual environments"
"25","virtual reality"
